analysisengin, uima, provid, return, licens, apach, distribut, file, asf, softwar, 
czech, input, buffer, cfm, ck, acm, diacrit, stem, light, len, 
normal, basicmodel, frequenc, aftereffect, invers, model, compon, basicmodelin, content, approxim, 
node, child, xml, conveni, dom, element, attribut, method, helper, 25112005, 
state, transit, outgo, label, automaton, ident, sequenc, target, sort, registri, 
phonet, encod, output, synonym, ab|ac|, daitchmokotoffsoundexfilt, matcher, buffer, ad, preserv, 
daitchmokotoffsoundexfilt, class=, solr, daitchmokotoffsoundexfilterfactori, daitch–Mokotoff, inject=, analyzer&gt, phonet, token, whitespacetokenizerfactori, 
analyz, stopword, stop, danish, set, word, stem, default, tokenstreamcompon, setkeywordmarkerfilt, 
line, 66, 76, 67, 41, 70, setlimit, 33, 34, 62, 
read, byte, readbyt, usebuff, string&gt, shift, int, dataoutput#writebyt, 0x7f, buffer, 
byte, written, int, map, string, variabl, eight, length, bit, integ, 
datasetsplitt, classif, testcas, noth, util, org, lucen, licens, apach, distribut, 
idx, train, index, cross, valid, ratio, directori, origin, iw, crossvalidationindex, 
initit, <=, due, fast, bug, path, optim, zone, exist, format, 
calendar, year, util, field, precis, level, bc, underflow, thousand, gregoriancalendar, 
0001, date, year, 1ad, cell, loop, 0000, earliest, cal, underflow, 
dateformat, date, dateformat#getdateinst, java, local, chartermattribute#buff, text, pars, sink, care, 
2004, licens, apach, softwar, distribut, mai, foundat, agre, basi, copyright, 
date, resolut, 00, granular, gmt, millisecond, 1970, convert, desir, string, 
digit, latin, basic, general_category=decimal_numb, decimaldigitfilt, shrink, supplementari, fold, outsid, equival, 
decimaldigitfilterfactori, class=, solr, text_lwrcas, analyzer&gt, decimaldigitfilt, whitespacetokenizerfactori, positionincrementgap=, fieldtype&gt, textfield, 
decompress, compress, stream, byte, originallength, offset, store, decompressor, length, origin, 
valuesourc, type, constvaluesourc, unavail, determin, consequ, correct, serv, valu, particular, 
10%, hope, bit, uniqu, primari, set, maintain, bitset, >90%, murmurhash2, 
2005, modifi, output, encod, simpl, doe, implement, licens, apach, softwar, 
word, cjk, breakiter, ulocal, type, dictionari, token, uax#29, text, japanes, 
perfield, field, abort, seen, bug, invert, document, index, must, dv, 
passag, unconnect, text, appear, highlight, defaultpassageformatt, escap, content, term, connect, 
slopquerynod, configurationkeys#phrase_slop, multiphrasequerynod, tokenizedphrasequerynod, appli, defin, queryconfighandl, processor, slop, configur, 
classicsimilar, bm25similar, equivil, superclass, trivial, backcompat, deprec, becom, switch, default, 
ordrang, hierarchi, multisortedsetdv, pull, facetsconfig#default_index_field_nam, ordinalmap, can, doc, involv, creat, 
deleg, analyz, strategi, wrapper, compon, local, fallbackstrategi, getreusestrategi, per, also, 
removedeletedquerynodesprocessor, deletedquerynod, tree, node, processor, repres, delet, remov, wa, empti, 
delimit, payloadencod, payload, foo|bar, token, charact, bar, foo, appropri, seen, 
delimitedpayloadtokenfilterfactori, class=, solr, text_dlmtd, delimitedpayloadtokenfilt, analyzer&gt, whitespacetokenizerfactori, positionincrementgap=, fieldtype&gt, textfield, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
html, parser, dtd, bodi, network, javacc, element, caus, titl, disabl, 
entri, dictionari, iter, consist, weight, interfac, payload, everi, repres, list, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
subword, donaudampfschiff, dictionari, dictionarycompoundwordtokenfilt, word, process, analysi, stream, longer, dampf, 
dictionarycompoundwordtokenfilterfactori, class=, solr, text_dictcomp, maxsubwordsize=, dictionari, dictionarycompoundwordtokenfilt, analyzer&gt, dictionary=, 15, 
patch, string, diff, orig, descript, teacher, command, paramet, printstacktrac, dest, 
diffit, stemmer, tabl, command, patch, arg, path, program, stem, prepar, 
err, dir, push, date, contentsourc, println, line, system, directori, rel, 
valuecount, bitspervalu, align, ref, 16, direct, pack, valu, back, bit, 
valuecount, bitspervalu, align, ref, 32, direct, pack, valu, back, bit, 
valuecount, bitspervalu, ref, 64, direct, valu, back, bit, wrap, arrai, 
valuecount, bitspervalu, align, ref, direct, pack, valu, back, bit, wrap, 
aggreg, numer, valu, address, big, ordin, append, binari, count, turn, 
valu, exce, binari, sort, sum, ~210, field, 10, document, byte, 
lazi, load, super, leav, lookupterm, checksum, metadata, termsenum, directdocvaluesformat, binari, 
directmonotonicwrit, directmonotonicreader#getinst, metadata, directmonotonicread, retriev, instanc, meta, kept, indexinput, around, 
valu, monoton, block, come, dataout, directmonotonicread, data, directwrit, numvalu, benefit, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
shift, bit, directreaderdirectwrit, read, account, round, compat, relev, care, extra, 
println, system, termord, upto, debug, docid, stateupto, term, skip, state, 
bitspervalu, directwrit, retriev, randomaccessslic, slice, valu, decod, directread, longvalu, getinst, 
suggest, spellcheck, spell, candid, term, distanc, metric, accuraci, edit, draw, 
maxvalu, valu, bit, writer, directwrit, amount, bitspervalu, bitsrequir, directread, output, 
directori, dest, exist, lock, newfil, io, name, filenotfoundexcept, nosuchfileexcept, atom, 
reader, commit, directoryread, indexwrit, open, indexcommit, directori, chang, index, return, 
cach, dtr, nrt, taxonomi, doopenifchang, instanc, epoch, categori, ordin, size, 
taxonomi, categori, cach, disk, epoch, ordin, parent, index, open, need, 
fsync, thru, filesystem, deleg, disabl, oper, wrap, normal, actual, pass, 
rebalanc, w1, prepend, priorityqueu, pluggabl, docidsetiter, prioriti, list, quit, comparison, 
iter, phase, approxim, disipriorityqueu, two, doc, support, last, view, doe, 
disjunct, docidsetiter, approxim, iter, intern, provid, licens, distribut, file, apach, 
disjunct, subqueri, score, disjunctionmaxqueri, field, weight, albino, sub, higher, tie, 
element, queryobjectbuilder#process, xmlparser, w3c, disjunctionmaxqueri, dom, disjunct, org, builder, javadoc, 
subqueri, scorer, tiebreakermultipli, score, sum, document, multipli, gener, maximum, disjunctionmaxscor, 
scorer, pq, match, score, matchcost, list, pretend, approxim, link, need, 
subscor, scorer, weight, scorer#adv, counterpart, coord, tabl, factor, advanc, least, 
earth, drill, home, latitud, bound, box, radian, rang, pole, degre, 
evt, distanc, oper, subqueri, near, messag, queri, indic, sub, accept, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
noth, fyi, delet, score, test, sometim, disabl, distanc, docid, order, 
distanc, point, plane, calcul, comput, point1, bound, final, style, squar, 
subqueri, distancesubquerynotallow, near, addspannearqueri, span, nest, creation, null, claus, reason, 
distanc, distancecalcul, via, functionvalues#objectv, com, nan, functionvalu, point, valuesourc, core, 
valuesourc, pointvectorstrategi, minx, functionvalu, area, descript, model, return, distanc, function, 
===, impl, blob, author, content, base, asc, group, search, bc, 
model, explain, tfn, ibsimilar, probabilist, lambda, subclass, elsewher, score, occurr, 
logist, logarithm, dfr, prefer, natur, paper, unlik, log, free, faster, 
paper, spl, logarithm, smooth, origin, dfr, prefer, natur, framework, unlik, 
denomin, divid, numer, function, null, null, null, null, null, null, 
kei, global, competit, divers, propos, group, result, maxscor, 1967, beatl, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
date, ctor, datetools#datetostr, pars, datetool, output, resolut, html, string, document, 
intern, contain, number, document, term, return, null, null, null, null, 
field, placehold, lexicograph, segmentinfo, 509, lazi, describ, java1, linkedhashmap, document, 
access, docidset, bit, random, provid, implement, fixedbitset, filter, match, iter, 
docidset, builder, spars, maxdoc, >>>, build, docidsetiter, id, reserv, minsiz, 
exhaust, iter, doc, docidsetiter, advanc, unpredict, target, behavior, int, document, 
whether, specifi, field, default, bodi, contentsourc, store, document, set, reset, 
norm, prop, bodi, docmak, properti, perfrundata, set, doc, index, fals, 
extract, name, doc, docnameextractor, index, docnamefield, input, searcher, docid, util, 
term, byte, uninvert, ord, termnumb, println, system, invert, pointer, number, 
rang, leafreader#getsortedsetdocvalu, upper, valu, lower, filter, endpoint, return, inclus, <0, 
docvaluesrewritemethod, doctermord, multitermqueri, enumer, rewrit, docvalu, perform, instead, filter, queri, 
doctermsindex, lowerv, serv, functionvalu, base, thrown, todo, forc, overrid, custom, 
vector, docterm, term, given, dens, document, spars, occurr, local, fieldterm, 
doctodoublevectorutil, classif, testcas, util, org, lucen, apach, null, null, null, 
docvalu, illegalstateexcept, field, exist, sortednumericdocvalu, none, sorteddocvalu, numericdocvalu, empti, return, 
docvalu, iter, valu, merg, field, step, ordin, binari, ord, sort, 
matchdoc, acceptdoc, stupid, iter, disregard, special, filteredqueri, optim, consult, fixedbitset, 
updat, document, return, iter, unset, valu, docvaluesfieldupd, docidsetiterator#no_more_doc, capac, merg, 
format, docvalu, name, spi, serviceload, segment, classload, configur, regist, resolv, 
docvaluestermsqueri, sortednumericdocvaluesfield, termsqueri, numericdocvaluesfield, long, slower, super, care, certain, whose, 
decod, grow, buf, buffer, binarydocvalu, front, ordin, loop, need, insid, 
thread, safe, return, instanc, singl, need, field, will, onli, produc, 
rang, numer, field, valu, docvaluesrangefilt, half, leafreader#getnumericdocvalu, filter, leafreader#getsorteddocvalu, org, 
numer, queri, doc, rang, valu, faster, docvaluestype#numer, field, termsqueri, dens, 
queri, 0f, multitermqueri, filter, tostr, boost, unindex, docvalu, ok, fixedbitset, 
termsfilt, term, fixedbitset, docid, scan, number, veri, cach, filter, miss, 
termsqueri, term, docid, scan, veri, longbitset, number, cach, faster, match, 
byte, 32766, store, type, derefer, presort, valu, document, pre, distinct, 
ptr, 2obj_head, updat, 2int, 4int, place, docvalu, 2ptr, field, term, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
docsandpositionsenum, posit, offset, termsenum#docsandposit, postingsenum, return, enum, flag, legaci, payload, 
termsenum#doc, docsenum, bit, enum, flag, termsenum#docsandposit, frequenc, pass, int, docsandpositionsenum, 
field, name, document, method, ad, return, removefield, exist, arrai, index, 
weight, payload, numericdocvalu, field, correspond, term, found, document, context, dictionari, 
payload, document, usual, miss, field, context, weight, valid, even, term, 
field, load, store, fieldstoadd, document, storedfieldvisitor, indexreader#docu, provid, option, onli, 
bind, valuesourc, sortfield, dictionari, simplebind, suppli, field, f2, f1, leav, 
usual, payload, even, sure, make, index, creat, licens, distribut, file, 
flush, dwpt, ticket, delet, threadstat, thread, global, queue, abort, document, 
slice, global, tail, updat, deleteslic, dwpt, appli, head, delet, item, 
dwpt, flush, stall, assert, pend, ram, flushbyt, documentswriterperthread, memori, flight, 
ticket, publish, queue, flush, lock, fullflush, segment, block, global, sync, 
abort, delet, flush, flushpolici, doc, appli, document, cf, dwpt, documentswriterperthread, 
threadstat, thread, documentswriterperthread, documentswriterflushcontrol, flush, lock, state, guard, iff, documentswriterperthreadpool, 
stall, flush, healthi, thread, documentswrit, threadstat, documentswriterperthread, significantli, statu, activ, 
constant, doubl, function, everi, document, valu, return, null, null, null, 
doubl, functionvalu, control, abstract, implement, retriev, valu, load, support, int, 
doubl, 64, double#doubletorawlongbit, valu, syntact, name, via, eight, encod, ineffici, 
doublefield, valu, field, type, store, rang, document, name, bracket, index, 
leafreader#getnumericdocvalu, cast, avail, doubl, valu, type, org, make, need, lucen, 
capturerestor, doublemetaphon, clearattribut, secondari, state, code, lazili, synonym, length, flag, 
doublemetaphonefilterfactori, class=, solr, maxcodelength=, doublemetaphonefilt, inject=, analyzer&gt, paramet, phonet, restrict, 
someth, stream, null, null, null, null, null, null, null, null, 
rang, accept, inclus, doublerang, doubledocvaluesfield, cost, doubl, minimum, true, valu, 
rangefacetcount, valuesourc, doublefieldsourc, km, dai, dimens, pass, javadoc, past, provid, 
drill, dimens, queri, drilldownqueri, categori, drillsidewai, brows, pure, base, cofnstraint, 
drill, sidewai, alow, numhit, collector, drillsidewai, count, comput, facet, search, 
dim, drillsidewaysscor, drill, drilldownterm, punch, scorer, ==, sidewai, deeper, top, 
dim, println, debug, system, docid, docid=, basescor, slot, id=, context, 
valuesourc, expon, wrap, functionvalu, extend, abstract, float, function, appli, two, 
compress, compressioncodec, peopl, chunk, visibl, constructor, let, packag, enough, configur, 
dummyquerynodebuild, builder, querytreebuild, commonli, object, querynod, built, noth, construct, alwai, 
duplic, bit, potenti, unset, identifi, approach, keepmod, diversifiedtopdocscollector, assum, readercontext, 
duplicatefilt, builder, licens, distribut, file, apach, asf, softwar, mai, see, 
2348, url, seri, date, flag, fix, text, segment, filter, must, 
word, stem, exclus, default, dutch, stopword, extern, list, stop, unmodifi, 
line, 130, liter, 122, call, 96, r2, 91, 57, delet, 
sort, collector, sortingmergepolici, earli, segment, termin, topdocscollector, collect, numdocstocollect, detect, 
edgengramfilterfactori, class=, solr, text_edgngrm, analyzer&gt, edgengramtokenfilt, whitespacetokenizerfactori, positionincrementgap=, fieldtype&gt, textfield, 
gram, input, gener, token, size, edgengramtokenfilt, gramsiz, mingram, given, maxgram, 
edgengramtokenfilt, token, increment, output, mingram, first, sinc, posit, will, smaller, 
gram, gener, edgengramtoken, mingram, maxgram, smallest, largest, edg, token, size, 
edgengramtokenizerfactori, text_edgngrm, analyzer&gt, edgengramtoken, solr, positionincrementgap=, fieldtype&gt, textfield, fieldtyp, 100, 
abcd, slide, edgengramtoken, maxgram, 1024, test, blast, correct, analyz, random, 
elis, articl, avion, tokenstream, plane, apostroph, chartermattribut, strip, stopword, increment, 
elisionfilterfactori, class=, solr, articles=, analyzer&gt, elisionfilt, ignorecase=, lowercasefilterfactori, txt, standardtokenizerfactori, 
exhaust, stream, alwai, token, licens, distribut, file, apach, asf, softwar, 
originaltext, formatt, output, encod, section, text, 2005, origin, gener, licens, 
quadrillion, billion, million, hundr, cast, english, smaller, convert, know, intern, 
analyz, stop, stopword, word, set, stem, tokenstreamcompon, setkeywordmarkerfilt, build, exclus, 
englishminimalstemm, tokenfilt, stem, english, keywordattribut, setkeywordmarkerfilt, prevent, custom, tokenstream, appli, 
englishminimalstemfilterfactori, class=, solr, text_enminstem, englishminimalstemfilt, analyzer&gt, lowercasefilterfactori, standardtokenizerfactori, filter, positionincrementgap=, 
stemmer, donna, fallthrough, plural, english, minim, implement, licens, distribut, file, 
strip, possess, charact, last, trail, tokenfilt, word, remov, licens, distribut, 
englishpossessivefilterfactori, class=, solr, text_enpossess, englishpossessivefilt, analyzer&gt, lowercasefilterfactori, standardtokenizerfactori, filter, positionincrementgap=, 
line, 203, 29, 151, liter, substr, call, 28, 27, 68, 
enum, valu, int, default_valu, string, isdelet, val==0, found, displai, endpoint, 
filei, element, imag, tupl, re, discard, open, 1257, fall, file&gt, 
enwikicontentsourc, nomoredataexcept, maker, forev, sever, turn, flag, thrown, content, sourc, 
wikipedia, queri, uncommon, analyz, qs, pars, querymak, common, 90, arrai, 
escap, local, type, toquerystr, text, escapequerysyntax, querynod, syntax, reserv, select, 
\\, escapequerysyntax, syntax, escap, regular, standard, char, check, todo, implement, 
advanc, enum, target, reach, far, exhaust, lead, po, reset, state, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
exitabledirectoryread, wrapper, exit, directoryread, exitingreaderexcept, querytimeout, period, enumer, class, exitablefield, 
explan, contribut, node, sub, descript, render, match, document, valu, comput, 
bind, sortfield, simplebind, popular, sort, variabl, _score, sourc, rescor, comput, 
facet, aggreg, popular, run, exampl, brows, drill, matchalldocsqueri, score, normal, 
cleaner, setscor, fieldcompar, catch, lazi, scorer, todo, init, custom, sourc, 
evalu, functionvalu, licens, distribut, file, apach, asf, softwar, express, mai, 
expression#getsortfield, rescor, explain, score, pass, valuesourc, show, assign, variabl, give, 
evalu, sortfield, document, sort, valu, licens, distribut, file, apach, asf, 
bind, evalu, valuesourc, context, given, licens, distribut, file, apach, asf, 
extens, extendablequerypars, field, parserextens, kei, charact, symbol, queri, extensionqueri, scheme, 
extensionqueri, extens, queri, raw, string, rawquerystr, field, parser, parserextens, extendablequerypars, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
extens, kei, field, delimit, string, pair, parserextens, charact, identifi, escap, 
temporari, sequenc, disk, iter, ref, written, buffer, build, remov, sort, 
extract, reuter, piec, renam, output, outfil, dir, wish, tmp, directori, 
download, dump, wikipedia, extract, continu, separ, index, licens, file, distribut, 
directori, effort, care, best, activ, creat, ds_store, let, extra, sometim, 
directori, jre, window, symlink, fsdirectori, mmapdirectori, path, implement, niofsdirectori, exist, 
lock, fsdirectori, nativefslockfactori, implement, base, explicitli, method, class, directori, ioexcept, 
arc, arcandst, println, node, chain, system, fst, target, scratcharc, label, 
suggest, weight, arc, bucket, automaton, kei, alphabet, lookup, match, sort, 
bucket, weight, suggest, automaton, alphabet, fstcomplet, input, discret, sort, root, 
bucket, fstcomplet, weight, discret, automaton, fst, suggest, complet, exactmatchfirst, promot, 
exact, reorder, collect, bucket, alphabet, match, promot, rank, result, higher, 
arc, upto, upto=, println, system, target, islast, targetlabel, fe, scan, 
fstord, lucene50pbf, dict, term, licens, distribut, file, apach, asf, softwar, 
fst&fsa, target, metadata, term, stat, frame, arc, fst, enum, current, 
term, metalongsskipfpdelta, fst, metadata, totaltermfreq, vint, block, fieldnumb, encod, doccount, 
bytes1, prefix, remov, output, inclus, ordstart, entir, common, long, numterm, 
lucene50pbf, dict, fst, term, licens, distribut, file, apach, asf, softwar, 
ret, system, +t1, println, zero, +ret, exist, extra, stat, determin, 
fst&fsa, metadata, target, term, frame, arc, fst, enum, sibl, +frame, 
fst, metadata, monoton, docfreq, post, longssiz, arc, term, part, totaltermfreq, 
inputmod, inputtostr, prune, fst, println, isleaf, system, cmo, output, pair, 
path, fst, accept, automaton, intersect, node, output, accumul, far, state, 
facetsconfig#build, label, path, dim, document, dimens, facet, add, indexwrit, field, 
facetlabel, compon, path, silent, length, therefor, max4, deadli, safe, categorypath, 
child, dimens, count, sum, request, path, topn, encount, children, aggreg, 
item, facet, contentitemssourc, simultan, thread, account, round, properti, multi, fill, 
randomsimplestr, _testutil, tail, onto, token, move, 10, long, random, first, 
dimens, path, topn, facet, label, return, doesn, count, hit, exist, 
collector, hit, collect, record, util, search, also, docidset, method, score, 
dimens, facetfield, println, system, configur, drill, path, field, encod, add, 
hackidi, hack, verbos, bulk, probabl, wrapper, caus, still, fail, merg, 
failur, runlisten, leak, due, outsid, rule, detect, context, happen, thread, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
buffer, token, char, shift, fit, front, won, charstream, javacc, posit, 
compressionmode#fast, compressioncodec, chunk, constructor, configur, allow, size, default, licens, distribut, 
compressionmode#fast_decompress, compressioncodec, chunk, constructor, configur, allow, size, default, licens, distribut, 
fasttaxonomyfacetcount, docvalu, categori, facetsconfig#setindexfieldnam, facet, request, indexfieldnam, count, list, dimens, 
fragment, fieldqueri, highlight, fragmentsbuild, fraglistbuild, maxnumfrag, matchedfield, object, fragchars, fieldmatch, 
highlight, center, field, match, phrase, result, token, even, ar, query1, 
field, name, valu, store, type, index, tokenstream, nullpointerexcept, expert, vector, 
configurationkeys#field_boost_map, configurationkeys#boost, fieldconfig, listen, boostvalu, fieldconfiglisten, fieldnam, assign, equival, request, 
cach, valu, field, entri, fieldcach, expert, parser, numerictokenstream, term, reader, 
cach, doctermsindex, fieldcach, fieldcacheimpl, uninvert, valu, lazi, field, segmentread, coars, 
insan, fieldcach, cacheentri, cach, mapofset, usag, object, entri, kid, indic, 
valuesourc, docvalu, retriev, singl, base, implement, class, field, valu, null, 
valu, compar, slot, sort, v2, numhit, save, fieldcompar, zero, common, 
fieldcompar, compar, field, fieldnam, occur, custom, ioexcept, error, index, creat, 
name, field, configur, fieldconfig, repres, fieldnam, null, illegalargumentexcept, construct, class, 
fieldconfig, configur, request, addchang, queryconfighandl, listen, field, ever, interfac, implement, 
configurationkeys#field_date_resolution_map, configurationkeys#date_resolut, fieldconfig, listen, fieldconfiglisten, resolut, fieldnam, assign, equival, request, 
sort, object, expert, criteria, scoredoc, field, referenc, document, arrai, element, 
multifield, cheap, empty, filterleafread, like, subset, expos, doe, return, underli, 
weightedphraseinfo, fragment, fraginfo, list, frag, offset, info, termsoffset, phraseinfolist, fragmentsbuild, 
field, store, payload, omitnorm, norm, docvalu, omitnorms=, indexopt, posit, updat, 
field, fieldinfo, fieldnumb, number, dvtype, global, true, return, ll, updatenumericdocvalu, 
fieldinfo, encodesdecod, constructor, invoc, implicit, previous, written, typic, javadoc, directori, 
field, boost, term, fieldinvertst, get, attributesourc, name, number, encount, valu, 
studentfirstnam, jame, spanqueri, teacherid, q2m, spannearqueri, q2, q1, mask, new, 
terminfo, weightedphraseinfo, fieldtermstack, fieldphraselist, merg, boost, step, seqnum, overlap, object, 
fpl, 16000, phraselist, fieldphraselist, buf, currenttimemilli, t1, assertequ, fieldtermstack, phrasehighlight, 
=>, expandqueries=, src=, overlap, dest=, termsetmap=map, fieldmatch==fals, ex1, phrasequeri, ex3, 
term, posit, text, fieldtext, field, begin, tupl, fieldquerynod, queri, string, 
fieldquerynod, object, termqueri, build, empti, constructor, licens, distribut, file, apach, 
fieldmatch, =>, true, fals, ^2, bc, cd, ab, f1, termin, 
debug, dotfilenam, fieldinfo, minmaxterm, println, system, blocktreetermswrit, older, field=, auto, 
iter, mergedprefixcodedtermsiter, field, ==, del, gen, per, chang, term, current, 
ft, fieldqueri, terminfo, stack, snippet, new, latest, highlight, true, circular, 
11, 01, 12, 0123456789012345678901234, offset, posit, 2gram, ee, 78, 23, 
frozen, illegalstateexcept, modif, fieldtyp, futur, numer, field, type, vector, store, 
fieldvaluefilt, field, filter, uwesai, fieldvaluequeri, leafreader#getdocswithfield, accept, negat, appli, iff, 
sort, fielddoc, hit, queue, entri, fieldvaluehitqueu, indexsearcher#search, maxscor, circuit, prioriti, 
valuequerynod, fieldablenod, querynod, arbitrari, interfac, hold, implement, field, valu, licens, 
leafreader#getdocswithfield, report, match, given, queri, field, valu, string, document, will, 
associ, node, children, field, interfac, fieldablenod, fieldnam, name, implement, indic, 
field, name, flex, return, will, unknown, distinct, step, null, constructor, 
api, post, field, term, countsstat, pull, happi, analog, docsposit, skip, 
prox, involv, checksum, constructor, costli, invoc, implicit, freq, consist, abstract, 
queri, fieldnam, expand, oq, field, tostr, infix, getclass, mostli, visibl, 
maker, queri, resourc, field=&lt, fileread, default, file=&lt, line, screw, bodi, 
tab, seper, payload, dictionari, word3, weight, bw, line, inputstream, term, 
least, weight, term, licens, distribut, file, apach, asf, softwar, mai, 
secondari, nosuchfileexcept, directori, primari, extens, got, fsdir, deleg, lock, dir, 
resolv, resourc, deleg, loader, resourceload, cwd, directori, lookup, classload, base, 
docidset, context, queri, document, permit, reader, segment, index, search, provid, 
channel, filterasynchronousfilechannel, asynchronousfilechannel, base, close, data, specifi, along, deleg, underli, 
interfac, build, filter, licens, distribut, file, apach, asf, softwar, mai, 
filterbuild, factori, licens, distribut, file, apach, asf, softwar, mai, see, 
lrufiltercach, querycach, cach, accordingli, docidset, wrapper, around, instead, per, segment, 
cach, segment, polici, cacheonlargeseg, filter, docidset, account, given, leaf, will, 
cell, shapefilt, hasnext, disjoint, row, twice, shape, skip, iter, intern, 
filterclaus, filter, occur, object, indic, paramet, booleanclaus, composit, compos, bitset, 
codec, customcodec, livedocsformat, spi, extend, public, arg, ctor, codec#fornam, lucenemncodec, 
codecread, filtercodecread, underli, data, along, instanc, basic, function, sourc, wai, 
collector, deleg, sole, constructor, experiment, licens, distribut, file, apach, asf, 
directori, basedirectori, extend, nrtcachingdirectori, filterdirectori, plan, exist, implement, wrap, class, 
directoryread, subread, wrap, filterdirectoryread, subreaderwrapp, subclass, pass, implement, filter, dowrapdirectoryread, 
directorystream, stream, base, underli, close, data, filesystem, specifi, along, instanc, 
channel, filterfilechannel, filechannel, base, dev2015, mail, close, data, html, specifi, 
scheme, filterfilestor, filestor, uri, base, instanc, data, store, identifi, specifi, 
filesystem, filterfilesystem, close, base, filesystemprovid, provid, sent, channel, stupid, data, 
scheme, filterfilesystemprovid, filesystem, uri, filesystemprovid, specifi, provid, function, delegateinst, underli, 
filterinputstream2, stream, inputstream, transform, base, filterinputstream, close, deleg, trappi, overrid, 
iter, iterator&lt, element, predic, implement, paramet, boolean, return, gener, intern, 
leafcollector, deleg, sole, constructor, experiment, licens, distribut, file, apach, asf, 
underli, ensureopen, reader, kei, instanc, filterleafread, affect, overrid, wrap, cach, 
filteroutputstream2, outputstream, stream, transform, base, filteroutputstream, close, deleg, trappi, overrid, 
path, filterpath, filesystem, innermost, parent, variou, expos, wrap, deleg, unbox, 
filterscor, scorer, weight, method, wrap, data, along, contain, provid, request, 
channel, filterseekablebytechannel, seekablebytechannel, base, close, data, specifi, along, deleg, underli, 
span, reject, match, wrap, overestim, astwophaseiter, indic, underestim, approxim, candid, 
docidset, docid, chainedfilt, cacheabl, demand, docidsetiter, visit, filtereddocidsetiter, innerset, decor, 
docidsetiter, docid, filtervalid, underli, decor, mechan, demand, result, abstract, determin, 
filter, strategi, queri, filterstrategi, filteredqueri, access, zag, random, docidset#bit, docidset, 
queryobjectbuilder#process, filteredqueri, w3c, dom, org, builder, element, javadoc, non, lucen, 
seek, enum, term, enumer, unsupportedoperationexcept, termsenum, accept, tenum, support, forward, 
token, filteringtokenfilt, eo, decid, return, reach, current, preserv, method, tokenfilt, 
output, token, gather, singl, fingerprintfilt, summar, separ, de, concaten, input, 
fingerprintfilt, fingerprintfilterfactori, properti, maxoutputtokens, option, 1024, explan, default, space, separ, 
transit, finit, state, current, string, lead, label, iter, stack, node, 
automaton, daciukmihovautomatonbuild, string, getfinitestr, finitestringsiter, expect, ascii, gener, emit, twice, 
analyz, stopword, stop, set, word, stem, default, tokenstreamcompon, setkeywordmarkerfilt, build, 
finnishlightstemm, tokenfilt, finnish, stem, keywordattribut, setkeywordmarkerfilt, prevent, custom, tokenstream, appli, 
finnishlightstemfilterfactori, class=, solr, text_filgtstem, finnishlightstemfilt, analyzer&gt, lowercasefilterfactori, standardtokenizerfactori, filter, positionincrementgap=, 
disclaim, jacqu, follow, liabil, damag, holder, includ, stemmer, code, finnish, 
line, liter, 174, 176, 177, setlimit, delet, 192, 179, 165, 
bit, ghost, clear, numbit, 64, depend, endindex, div, long, flip, 
multipli, term, dict, main, div=, offset, long, place, prone, fixedgaptermsindexwrit, 
term, fgw, text=, save, index, utf8tostr, addffield=, offset, suffix, indexedterm, 
flag, bitset, tokenfilt, typeattribut, bit, distinct, although, stai, chain, token, 
flagsattribut, attribut, initi, bit, default, implement, set, licens, distribut, file, 
float, facet, label, associ, taxonomyfacetsumfloatassoci, encod, dim, aggreg, decod, add, 
float, functionvalu, control, abstract, implement, retriev, valu, load, support, int, 
float, 32, float#floattorawintbit, valu, syntact, name, via, encod, ineffici, bit, 
payloadhelper#encodefloat, float, improv, payload, bytesref, analysi, encod, charact, arrai, org, 
floatfield, valu, field, type, store, rang, document, name, bracket, index, 
leafreader#getnumericdocvalu, cast, avail, numer, float, valu, type, org, make, need, 
dim, rollup, roll, sum, necessari, ord, ok, hierarch, accur, count, 
flush, documentswriterflushcontrol, documentswriterperthreadpool, threadstat, flushpolici, documentswriterperthread, pend, ram, indexwriterconfig#getmaxbuffereddeleteterm, activ, 
flushinfo, context, iocontext, flush, valu, estim, part, actual, ar, provid, 
threadstat, flushpolici, documentswriterflushcontrol, documentswriterperthread, flush, given, call, ram, delet, via, 
data, encod, decod, forutil, block, valu, number, low, io, ioexcept, 
forcemerg, none, side, effect, run, println, system, call, index, licens, 
servlet, xml, templat, queri, querytemplatemanag, csv, xsl, pars, demo, load, 
col, format, column, decid, pad, string, numfracdigit, number, fraction, left, 
tokengroup, originaltext, markup, section, text, page, html, along, highlight, sever, 
bytearraydatainput, skipbyt, setposit, hmm, datainput, read, singl, byte, just, need, 
